Controller pinned to core 3.
Scheduler started.
pulled barnes
pulled radix
pulled blackscholes
pulled canneal
pulled freqmine
pulled streamcluster
pulled vips
[MEMCACHED] cores updated to: ['0', '1', '2']
[radix] started on cores: [3] with 1 threads.
[monitor] ['51%', '53%', '50%', '100%']  memcached=154.4%
[monitor] ['55%', '100%', '54%', '100%']  memcached=109.3%
[monitor] ['54%', '100%', '56%', '100%']  memcached=110.5%
[monitor] ['54%', '100%', '54%', '100%']  memcached=108.3%
[monitor] ['57%', '100%', '54%', '100%']  memcached=110.8%
[monitor] ['53%', '100%', '56%', '100%']  memcached=109.2%
[monitor] ['54%', '100%', '54%', '100%']  memcached=108.1%
[monitor] ['54%', '100%', '54%', '100%']  memcached=108.1%
[monitor] ['56%', '100%', '53%', '100%']  memcached=109.2%
[monitor] ['54%', '100%', '55%', '100%']  memcached=109.3%
[monitor] ['51%', '100%', '53%', '100%']  memcached=104.2%
[monitor] ['57%', '100%', '54%', '100%']  memcached=111.6%
[monitor] ['56%', '100%', '58%', '100%']  memcached=113.5%
[monitor] ['51%', '100%', '54%', '100%']  memcached=105.4%
[monitor] ['54%', '100%', '57%', '100%']  memcached=111.6%
[monitor] ['54%', '100%', '54%', '100%']  memcached=108.1%
[monitor] ['54%', '100%', '55%', '100%']  memcached=109.3%
[monitor] ['53%', '100%', '56%', '100%']  memcached=108.3%
[monitor] ['58%', '100%', '55%', '100%']  memcached=113.2%
[monitor] ['55%', '100%', '54%', '100%']  memcached=109.3%
[monitor] ['55%', '100%', '56%', '100%']  memcached=111.7%
[monitor] ['59%', '100%', '56%', '100%']  memcached=115.4%
[monitor] ['64%', '100%', '64%', '100%']  memcached=127.8%
[monitor] ['97%', '100%', '97%', '100%']  memcached=193.3%
[MEMCACHED] cores updated to: ['0', '1', '2']
[radix] unpaused.
[barnes] paused.
[monitor] ['77%', '76%', '76%', '100%']  memcached=228.9%
[monitor] ['81%', '79%', '79%', '100%']  memcached=238.8%
[monitor] ['76%', '76%', '76%', '100%']  memcached=227.3%
[monitor] ['79%', '79%', '79%', '100%']  memcached=237.6%
[monitor] ['78%', '79%', '76%', '100%']  memcached=233.4%
[monitor] ['81%', '79%', '79%', '100%']  memcached=238.8%
[monitor] ['78%', '79%', '80%', '100%']  memcached=236.9%
[monitor] ['81%', '80%', '79%', '100%']  memcached=240.0%
[monitor] ['81%', '81%', '79%', '100%']  memcached=241.3%
[monitor] ['78%', '77%', '77%', '100%']  memcached=232.4%
[monitor] ['82%', '82%', '81%', '100%']  memcached=244.9%
[monitor] ['81%', '75%', '78%', '100%']  memcached=234.4%
[monitor] ['82%', '85%', '82%', '100%']  memcached=249.0%
[monitor] ['84%', '75%', '79%', '100%']  memcached=238.3%
[monitor] ['79%', '79%', '79%', '100%']  memcached=236.4%
[monitor] ['79%', '73%', '79%', '100%']  memcached=230.9%
[monitor] ['79%', '79%', '77%', '100%']  memcached=235.6%
[monitor] ['79%', '76%', '76%', '100%']  memcached=230.3%
[monitor] ['77%', '72%', '75%', '100%']  memcached=224.0%
[monitor] ['77%', '74%', '76%', '100%']  memcached=226.6%
[monitor] ['79%', '76%', '79%', '100%']  memcached=234.7%
[monitor] ['81%', '78%', '78%', '100%']  memcached=236.9%
[monitor] ['75%', '74%', '75%', '100%']  memcached=224.2%
[monitor] ['79%', '79%', '79%', '100%']  memcached=238.2%
[monitor] ['82%', '79%', '80%', '100%']  memcached=241.2%
[monitor] ['81%', '79%', '79%', '100%']  memcached=238.8%
[monitor] ['85%', '84%', '84%', '100%']  memcached=253.1%
[monitor] ['82%', '77%', '79%', '100%']  memcached=239.2%
[monitor] ['87%', '81%', '79%', '100%']  memcached=247.1%
[monitor] ['82%', '82%', '82%', '100%']  memcached=246.0%
[monitor] ['78%', '76%', '77%', '100%']  memcached=231.7%
[monitor] ['84%', '81%', '81%', '100%']  memcached=246.9%
[monitor] ['81%', '79%', '79%', '100%']  memcached=239.4%
[monitor] ['79%', '75%', '78%', '100%']  memcached=231.9%
[monitor] ['84%', '82%', '79%', '100%']  memcached=245.6%
[monitor] ['81%', '78%', '78%', '100%']  memcached=237.5%
[monitor] ['76%', '76%', '76%', '100%']  memcached=227.3%
[monitor] ['79%', '73%', '76%', '100%']  memcached=227.3%
[monitor] ['81%', '81%', '81%', '100%']  memcached=243.1%
[monitor] ['79%', '74%', '75%', '100%']  memcached=228.7%
[monitor] ['82%', '82%', '79%', '100%']  memcached=243.0%
[monitor] ['81%', '78%', '84%', '100%']  memcached=243.8%
[monitor] ['82%', '83%', '83%', '100%']  memcached=247.5%
[monitor] ['81%', '81%', '81%', '100%']  memcached=243.1%
[monitor] ['84%', '82%', '82%', '100%']  memcached=248.0%
[monitor] ['82%', '82%', '81%', '100%']  memcached=244.8%
[monitor] ['82%', '80%', '81%', '100%']  memcached=242.4%
[monitor] ['79%', '77%', '77%', '100%']  memcached=234.3%
[monitor] ['79%', '79%', '76%', '100%']  memcached=234.7%
[monitor] ['79%', '79%', '79%', '100%']  memcached=237.6%
[monitor] ['81%', '76%', '79%', '100%']  memcached=236.5%
[monitor] ['75%', '74%', '76%', '100%']  memcached=225.7%
[monitor] ['82%', '76%', '79%', '100%']  memcached=236.4%
[monitor] ['75%', '76%', '76%', '100%']  memcached=226.5%
[monitor] ['85%', '81%', '84%', '100%']  memcached=250.0%
[monitor] ['74%', '76%', '75%', '100%']  memcached=225.7%
[monitor] ['81%', '77%', '76%', '100%']  memcached=234.9%
[monitor] ['81%', '81%', '79%', '100%']  memcached=241.9%
[monitor] ['82%', '78%', '81%', '100%']  memcached=240.6%
[monitor] ['80%', '79%', '79%', '100%']  memcached=237.6%
[monitor] ['79%', '76%', '79%', '100%']  memcached=234.7%
[monitor] ['78%', '79%', '75%', '100%']  memcached=231.9%
[monitor] ['85%', '81%', '80%', '100%']  memcached=245.5%
[monitor] ['79%', '80%', '76%', '100%']  memcached=235.9%
[monitor] ['78%', '76%', '76%', '100%']  memcached=229.6%
[monitor] ['77%', '75%', '79%', '100%']  memcached=230.9%
[monitor] ['77%', '74%', '76%', '100%']  memcached=226.7%
[monitor] ['85%', '84%', '81%', '100%']  memcached=250.0%
[monitor] ['84%', '82%', '82%', '100%']  memcached=248.0%
[monitor] ['82%', '84%', '82%', '100%']  memcached=248.0%
[monitor] ['85%', '79%', '79%', '100%']  memcached=242.4%
[monitor] ['81%', '79%', '78%', '100%']  memcached=238.2%
[monitor] ['82%', '81%', '79%', '100%']  memcached=241.9%
[monitor] ['85%', '80%', '82%', '100%']  memcached=246.7%
[monitor] ['83%', '84%', '81%', '100%']  memcached=247.4%
[monitor] ['84%', '78%', '82%', '100%']  memcached=244.3%
[monitor] ['82%', '82%', '82%', '100%']  memcached=246.0%
[monitor] ['81%', '85%', '82%', '100%']  memcached=248.5%
[monitor] ['79%', '76%', '79%', '100%']  memcached=233.3%
[monitor] ['81%', '85%', '82%', '100%']  memcached=248.5%
[monitor] ['85%', '82%', '82%', '100%']  memcached=249.0%
[monitor] ['78%', '76%', '77%', '100%']  memcached=231.3%
[monitor] ['79%', '76%', '76%', '100%']  memcached=230.3%
[monitor] ['82%', '82%', '84%', '100%']  memcached=248.5%
[monitor] ['88%', '85%', '82%', '100%']  memcached=254.2%
[monitor] ['78%', '72%', '78%', '100%']  memcached=228.1%
[monitor] ['76%', '79%', '76%', '100%']  memcached=231.0%
[monitor] ['81%', '78%', '77%', '100%']  memcached=236.8%
[monitor] ['82%', '82%', '81%', '100%']  memcached=244.8%
[monitor] ['77%', '76%', '78%', '100%']  memcached=231.0%
[monitor] ['82%', '85%', '81%', '100%']  memcached=247.8%
[monitor] ['78%', '74%', '79%', '100%']  memcached=231.1%
[monitor] ['79%', '77%', '79%', '100%']  memcached=236.2%
[monitor] ['87%', '85%', '82%', '100%']  memcached=253.3%
[monitor] ['82%', '79%', '81%', '100%']  memcached=242.5%
[monitor] ['77%', '76%', '75%', '100%']  memcached=228.1%
[monitor] ['80%', '79%', '78%', '100%']  memcached=236.9%
[monitor] ['81%', '83%', '79%', '100%']  memcached=242.9%
[monitor] ['76%', '72%', '76%', '100%']  memcached=224.1%
[monitor] ['73%', '69%', '69%', '100%']  memcached=210.2%
[monitor] ['73%', '73%', '74%', '100%']  memcached=219.0%
[monitor] ['76%', '74%', '73%', '100%']  memcached=222.0%
[monitor] ['74%', '74%', '73%', '100%']  memcached=219.8%
[monitor] ['78%', '76%', '76%', '100%']  memcached=230.4%
[monitor] ['76%', '73%', '76%', '100%']  memcached=225.0%
[monitor] ['75%', '74%', '69%', '100%']  memcached=217.3%
[monitor] ['71%', '69%', '74%', '100%']  memcached=213.5%
[monitor] ['76%', '73%', '73%', '100%']  memcached=221.2%
[monitor] ['76%', '78%', '76%', '100%']  memcached=229.6%
[monitor] ['76%', '74%', '74%', '100%']  memcached=222.8%
[monitor] ['73%', '72%', '73%', '100%']  memcached=217.3%
[monitor] ['78%', '74%', '76%', '100%']  memcached=228.1%
[monitor] ['76%', '73%', '73%', '100%']  memcached=221.2%
[monitor] ['76%', '76%', '78%', '100%']  memcached=229.6%
[monitor] ['76%', '72%', '72%', '100%']  memcached=219.9%
[monitor] ['72%', '74%', '74%', '100%']  memcached=219.7%
[monitor] ['74%', '79%', '75%', '100%']  memcached=227.9%
[monitor] ['73%', '81%', '71%', '100%']  memcached=224.7%
[monitor] ['74%', '79%', '76%', '100%']  memcached=229.4%
[monitor] ['76%', '79%', '74%', '100%']  memcached=229.4%
[monitor] ['74%', '79%', '74%', '100%']  memcached=226.5%
[monitor] ['78%', '85%', '79%', '100%']  memcached=241.8%
[monitor] ['76%', '82%', '73%', '100%']  memcached=230.3%
[monitor] ['79%', '83%', '76%', '100%']  memcached=238.7%
[monitor] ['76%', '85%', '77%', '100%']  memcached=238.9%
[monitor] ['73%', '80%', '73%', '100%']  memcached=225.5%
[monitor] ['76%', '82%', '74%', '100%']  memcached=231.6%
[monitor] ['77%', '84%', '79%', '100%']  memcached=240.3%
[monitor] ['78%', '83%', '76%', '100%']  memcached=237.5%
[monitor] ['73%', '79%', '71%', '100%']  memcached=222.1%
[monitor] ['74%', '78%', '71%', '100%']  memcached=222.3%
[monitor] ['76%', '81%', '71%', '100%']  memcached=228.0%
[monitor] ['74%', '79%', '73%', '100%']  memcached=225.7%
[monitor] ['74%', '86%', '71%', '100%']  memcached=231.4%
[monitor] ['74%', '85%', '71%', '100%']  memcached=230.2%
[monitor] ['74%', '88%', '76%', '100%']  memcached=238.5%
[monitor] ['75%', '91%', '76%', '100%']  memcached=241.6%
[monitor] ['76%', '88%', '75%', '100%']  memcached=239.0%
[monitor] ['78%', '91%', '77%', '100%']  memcached=245.9%
[monitor] ['78%', '91%', '79%', '100%']  memcached=248.4%
[monitor] ['76%', '88%', '76%', '100%']  memcached=239.4%
[monitor] ['78%', '91%', '77%', '100%']  memcached=246.2%
[monitor] ['73%', '82%', '73%', '100%']  memcached=227.3%
[monitor] ['74%', '77%', '71%', '100%']  memcached=221.3%
[monitor] ['74%', '76%', '73%', '100%']  memcached=222.7%
[monitor] ['79%', '79%', '76%', '100%']  memcached=234.0%
[monitor] ['75%', '74%', '76%', '100%']  memcached=225.8%
[monitor] ['65%', '62%', '65%', '100%']  memcached=191.9%
[radix] ended.
[blackscholes] started on cores: [3] with 3 threads.
[monitor] ['38%', '47%', '42%', '100%']  memcached=127.0%
[MEMCACHED] cores updated to: ['0', '2']
[barnes] unpaused.
[blackscholes] paused.
[monitor] ['56%', '100%', '53%', '100%']  memcached=109.2%
[monitor] ['55%', '100%', '57%', '100%']  memcached=112.8%
[monitor] ['55%', '100%', '55%', '100%']  memcached=110.5%
[monitor] ['53%', '100%', '55%', '100%']  memcached=108.0%
[monitor] ['56%', '100%', '57%', '100%']  memcached=113.2%
[monitor] ['58%', '100%', '57%', '100%']  memcached=115.4%
[monitor] ['53%', '100%', '57%', '100%']  memcached=110.3%
[monitor] ['54%', '100%', '53%', '100%']  memcached=106.8%
[monitor] ['56%', '100%', '55%', '100%']  memcached=111.7%
[monitor] ['54%', '100%', '55%', '100%']  memcached=109.3%
[monitor] ['55%', '100%', '55%', '100%']  memcached=110.5%
[monitor] ['57%', '100%', '59%', '100%']  memcached=116.5%
[monitor] ['54%', '100%', '54%', '100%']  memcached=108.1%
[monitor] ['56%', '100%', '57%', '100%']  memcached=113.9%
[monitor] ['53%', '100%', '56%', '100%']  memcached=109.2%
[monitor] ['55%', '100%', '56%', '100%']  memcached=111.4%
[monitor] ['56%', '100%', '56%', '100%']  memcached=112.8%
[monitor] ['56%', '100%', '55%', '100%']  memcached=111.7%
[monitor] ['56%', '100%', '55%', '100%']  memcached=111.7%
[monitor] ['56%', '100%', '55%', '100%']  memcached=111.7%
[monitor] ['55%', '100%', '56%', '100%']  memcached=111.7%
[monitor] ['54%', '100%', '57%', '100%']  memcached=111.6%
[monitor] ['54%', '100%', '54%', '100%']  memcached=108.1%
[monitor] ['54%', '100%', '57%', '100%']  memcached=111.6%
[monitor] ['56%', '100%', '56%', '100%']  memcached=112.8%
[monitor] ['54%', '100%', '54%', '100%']  memcached=108.1%
[monitor] ['54%', '100%', '56%', '100%']  memcached=110.5%
[monitor] ['55%', '100%', '56%', '100%']  memcached=111.7%
[monitor] ['56%', '100%', '56%', '100%']  memcached=112.8%
[monitor] ['57%', '100%', '58%', '100%']  memcached=115.4%
[monitor] ['53%', '100%', '55%', '100%']  memcached=108.0%
[monitor] ['55%', '100%', '54%', '100%']  memcached=109.3%
[monitor] ['55%', '100%', '53%', '100%']  memcached=107.9%
[monitor] ['51%', '100%', '55%', '21%']  memcached=106.7%
[monitor] ['57%', '100%', '59%', '100%']  memcached=116.5%
[monitor] ['54%', '100%', '54%', '93%']  memcached=107.9%
[monitor] ['56%', '100%', '56%', '80%']  memcached=112.8%
[monitor] ['55%', '100%', '57%', '100%']  memcached=112.0%
[monitor] ['51%', '100%', '55%', '100%']  memcached=106.7%
[monitor] ['54%', '100%', '59%', '100%']  memcached=113.0%
[monitor] ['54%', '100%', '53%', '100%']  memcached=106.8%
[monitor] ['57%', '100%', '57%', '100%']  memcached=114.3%
[monitor] ['57%', '100%', '55%', '100%']  memcached=112.8%
[monitor] ['55%', '100%', '57%', '100%']  memcached=112.8%
[monitor] ['54%', '100%', '53%', '100%']  memcached=106.8%
[monitor] ['57%', '100%', '55%', '100%']  memcached=112.8%
[monitor] ['59%', '100%', '56%', '100%']  memcached=114.5%
[monitor] ['37%', '100%', '40%', '100%']  memcached=77.1%
[monitor] ['21%', '100%', '21%', '100%']  memcached=42.4%
[MEMCACHED] cores updated to: ['0']
[blackscholes] unpaused.
[blackscholes] cores updated to: [2]
[monitor] ['37%', '100%', '100%', '100%']  memcached=37.1%
[monitor] ['39%', '100%', '100%', '100%']  memcached=39.5%
[monitor] ['34%', '100%', '100%', '100%']  memcached=34.3%
[monitor] ['29%', '100%', '100%', '100%']  memcached=29.4%
[monitor] ['35%', '100%', '100%', '100%']  memcached=35.1%
[monitor] ['34%', '100%', '100%', '100%']  memcached=34.3%
[monitor] ['29%', '100%', '100%', '100%']  memcached=29.4%
[monitor] ['33%', '100%', '100%', '100%']  memcached=33.3%
[monitor] ['29%', '100%', '100%', '100%']  memcached=29.4%
[monitor] ['30%', '100%', '100%', '100%']  memcached=30.3%
[monitor] ['32%', '100%', '100%', '100%']  memcached=32.4%
[monitor] ['33%', '100%', '100%', '100%']  memcached=33.3%
[monitor] ['33%', '100%', '100%', '100%']  memcached=33.3%
[monitor] ['33%', '100%', '100%', '100%']  memcached=33.3%
[monitor] ['34%', '100%', '100%', '100%']  memcached=34.3%
[monitor] ['33%', '100%', '100%', '100%']  memcached=33.3%
[monitor] ['35%', '100%', '100%', '100%']  memcached=35.3%
[monitor] ['36%', '100%', '100%', '100%']  memcached=36.1%
[monitor] ['92%', '100%', '100%', '100%']  memcached=91.7%
[MEMCACHED] cores updated to: ['0', '1', '3']
[barnes] paused.
[monitor] ['16%', '13%', '100%', '19%']  memcached=47.8%
[MEMCACHED] cores updated to: ['0', '3']
[barnes] unpaused.
[barnes] cores updated to: [1, 2]
[blackscholes] paused.
[monitor] ['26%', '100%', '100%', '19%']  memcached=44.5%
[MEMCACHED] cores updated to: ['0']
[blackscholes] unpaused.
[blackscholes] cores updated to: [3]
[monitor] ['42%', '100%', '100%', '100%']  memcached=41.7%
[monitor] ['33%', '100%', '100%', '100%']  memcached=33.3%
[monitor] ['36%', '100%', '100%', '100%']  memcached=36.1%
[monitor] ['34%', '100%', '100%', '100%']  memcached=34.3%
[monitor] ['31%', '100%', '100%', '100%']  memcached=31.4%
[monitor] ['31%', '100%', '100%', '100%']  memcached=31.4%
[monitor] ['30%', '100%', '100%', '100%']  memcached=30.3%
[monitor] ['33%', '100%', '100%', '100%']  memcached=33.3%
[monitor] ['30%', '100%', '100%', '100%']  memcached=30.3%
[monitor] ['37%', '100%', '100%', '100%']  memcached=36.8%
[monitor] ['34%', '100%', '100%', '100%']  memcached=34.3%
[monitor] ['34%', '100%', '100%', '100%']  memcached=34.3%
[monitor] ['34%', '100%', '100%', '100%']  memcached=34.3%
[monitor] ['38%', '100%', '100%', '100%']  memcached=37.8%
[monitor] ['34%', '100%', '100%', '100%']  memcached=34.3%
[monitor] ['83%', '100%', '100%', '100%']  memcached=82.9%
[MEMCACHED] cores updated to: ['0', '3']
[blackscholes] paused.
[monitor] ['100%', '100%', '100%', '26%']  memcached=126.5%
[monitor] ['100%', '100%', '100%', '24%']  memcached=124.2%
[monitor] ['100%', '100%', '100%', '26%']  memcached=126.5%
[monitor] ['46%', '100%', '100%', '81%']  memcached=126.4%
[monitor] ['100%', '100%', '100%', '21%']  memcached=121.2%
[monitor] ['100%', '100%', '100%', '24%']  memcached=123.5%
[monitor] ['100%', '100%', '28%', '24%']  memcached=124.2%
[monitor] ['100%', '100%', '7%', '26%']  memcached=126.5%
[monitor] ['100%', '100%', '7%', '47%']  memcached=146.9%
[monitor] ['83%', '100%', '8%', '89%']  memcached=172.2%
[MEMCACHED] cores updated to: ['0', '1', '3']
[barnes] paused.
[blackscholes] unpaused.
[blackscholes] cores updated to: [2]
[monitor] ['62%', '58%', '100%', '55%']  memcached=174.4%
[monitor] ['65%', '61%', '100%', '62%']  memcached=187.1%
[monitor] ['61%', '58%', '100%', '56%']  memcached=174.4%
[monitor] ['62%', '61%', '100%', '56%']  memcached=178.3%
[monitor] ['65%', '59%', '100%', '59%']  memcached=182.4%
[monitor] ['65%', '59%', '100%', '60%']  memcached=184.1%
[monitor] ['61%', '60%', '100%', '53%']  memcached=173.7%
[monitor] ['59%', '59%', '100%', '58%']  memcached=176.8%
[monitor] ['59%', '62%', '100%', '55%']  memcached=175.7%
[monitor] ['63%', '61%', '100%', '59%']  memcached=182.3%
[monitor] ['59%', '56%', '100%', '55%']  memcached=169.3%
[monitor] ['59%', '61%', '100%', '58%']  memcached=177.0%
[monitor] ['63%', '56%', '100%', '55%']  memcached=173.9%
[monitor] ['59%', '61%', '100%', '55%']  memcached=174.0%
[monitor] ['62%', '59%', '100%', '58%']  memcached=179.2%
[monitor] ['64%', '59%', '100%', '55%']  memcached=177.3%
[monitor] ['64%', '59%', '100%', '58%']  memcached=180.8%
[monitor] ['61%', '61%', '100%', '59%']  memcached=180.0%
[monitor] ['59%', '62%', '100%', '55%']  memcached=176.0%
[monitor] ['64%', '56%', '100%', '59%']  memcached=179.0%
[monitor] ['63%', '59%', '100%', '58%']  memcached=179.8%
[monitor] ['61%', '59%', '100%', '55%']  memcached=174.8%
[monitor] ['63%', '63%', '100%', '58%']  memcached=183.3%
[monitor] ['64%', '60%', '100%', '59%']  memcached=182.7%
[monitor] ['62%', '61%', '100%', '59%']  memcached=181.2%
[monitor] ['65%', '55%', '100%', '59%']  memcached=178.4%
[monitor] ['61%', '61%', '100%', '58%']  memcached=179.3%
[monitor] ['65%', '59%', '100%', '58%']  memcached=182.1%
[monitor] ['62%', '63%', '100%', '58%']  memcached=183.4%
[monitor] ['65%', '59%', '100%', '58%']  memcached=181.1%
[monitor] ['63%', '61%', '100%', '58%']  memcached=181.0%
[monitor] ['61%', '59%', '100%', '58%']  memcached=177.6%
[monitor] ['59%', '60%', '100%', '58%']  memcached=176.4%
[monitor] ['65%', '62%', '100%', '57%']  memcached=183.8%
[monitor] ['61%', '59%', '100%', '58%']  memcached=177.5%
[monitor] ['66%', '62%', '100%', '59%']  memcached=187.6%
[monitor] ['61%', '60%', '100%', '58%']  memcached=178.7%
[monitor] ['65%', '59%', '100%', '57%']  memcached=180.8%
[monitor] ['64%', '65%', '100%', '61%']  memcached=189.2%
[monitor] ['63%', '60%', '100%', '59%']  memcached=181.7%
[monitor] ['64%', '62%', '100%', '57%']  memcached=183.5%
[monitor] ['62%', '58%', '100%', '58%']  memcached=176.9%
[monitor] ['63%', '59%', '100%', '60%']  memcached=182.2%
[monitor] ['64%', '61%', '100%', '59%']  memcached=183.9%
[monitor] ['41%', '41%', '100%', '38%']  memcached=119.3%
[MEMCACHED] cores updated to: ['0', '3']
[barnes] unpaused.
[blackscholes] paused.
[monitor] ['27%', '100%', '10%', '29%']  memcached=55.8%
[MEMCACHED] cores updated to: ['0']
[blackscholes] unpaused.
[blackscholes] cores updated to: [3]
[monitor] ['41%', '100%', '100%', '100%']  memcached=40.5%
[monitor] ['38%', '100%', '59%', '100%']  memcached=38.2%
[monitor] ['42%', '100%', '100%', '100%']  memcached=42.1%
[monitor] ['40%', '100%', '100%', '100%']  memcached=40.0%
[monitor] ['38%', '100%', '100%', '100%']  memcached=38.2%
[monitor] ['37%', '100%', '100%', '100%']  memcached=37.1%
[monitor] ['40%', '100%', '100%', '100%']  memcached=40.0%
[monitor] ['42%', '100%', '100%', '100%']  memcached=41.7%
[monitor] ['41%', '100%', '100%', '100%']  memcached=40.5%
[monitor] ['38%', '100%', '100%', '100%']  memcached=38.2%
[monitor] ['37%', '100%', '100%', '100%']  memcached=37.1%
[monitor] ['43%', '100%', '100%', '100%']  memcached=43.2%
[monitor] ['39%', '100%', '100%', '100%']  memcached=39.4%
[monitor] ['44%', '100%', '100%', '100%']  memcached=44.1%
[monitor] ['44%', '100%', '100%', '100%']  memcached=44.4%
[monitor] ['42%', '100%', '100%', '100%']  memcached=41.7%
[monitor] ['40%', '100%', '100%', '100%']  memcached=40.0%
[monitor] ['40%', '100%', '100%', '100%']  memcached=40.0%
[monitor] ['42%', '100%', '100%', '100%']  memcached=41.7%
[monitor] ['39%', '100%', '100%', '100%']  memcached=38.9%
[monitor] ['40%', '100%', '100%', '100%']  memcached=40.0%
[monitor] ['43%', '100%', '100%', '100%']  memcached=43.2%
[monitor] ['42%', '100%', '100%', '100%']  memcached=41.7%
[monitor] ['43%', '100%', '100%', '100%']  memcached=43.2%
[monitor] ['45%', '100%', '100%', '100%']  memcached=44.7%
[monitor] ['40%', '100%', '100%', '100%']  memcached=40.0%
[monitor] ['43%', '100%', '100%', '100%']  memcached=43.2%
[monitor] ['42%', '100%', '100%', '100%']  memcached=41.7%
[monitor] ['40%', '100%', '100%', '100%']  memcached=40.0%
[monitor] ['39%', '100%', '100%', '100%']  memcached=38.9%
[monitor] ['40%', '100%', '100%', '100%']  memcached=40.0%
[monitor] ['40%', '100%', '100%', '100%']  memcached=40.0%
[monitor] ['39%', '100%', '100%', '100%']  memcached=38.9%
[monitor] ['42%', '100%', '100%', '100%']  memcached=41.7%
[monitor] ['39%', '100%', '100%', '100%']  memcached=38.9%
[monitor] ['38%', '100%', '100%', '100%']  memcached=38.2%
[monitor] ['37%', '100%', '100%', '100%']  memcached=37.1%
[monitor] ['45%', '100%', '100%', '100%']  memcached=44.7%
[monitor] ['45%', '100%', '100%', '100%']  memcached=44.7%
[monitor] ['38%', '100%', '100%', '100%']  memcached=38.2%
[monitor] ['41%', '100%', '100%', '100%']  memcached=40.5%
[monitor] ['44%', '100%', '100%', '100%']  memcached=44.4%
[monitor] ['39%', '100%', '100%', '100%']  memcached=38.9%
[monitor] ['34%', '100%', '100%', '100%']  memcached=34.4%
[monitor] ['42%', '100%', '100%', '100%']  memcached=42.1%
[monitor] ['40%', '100%', '100%', '100%']  memcached=40.0%
[monitor] ['40%', '100%', '100%', '100%']  memcached=40.0%
[monitor] ['41%', '100%', '100%', '100%']  memcached=41.2%
[monitor] ['82%', '100%', '100%', '100%']  memcached=81.6%
[MEMCACHED] cores updated to: ['0', '3']
[blackscholes] paused.
[monitor] ['60%', '100%', '100%', '56%']  memcached=116.4%
[monitor] ['56%', '100%', '100%', '59%']  memcached=114.5%
[monitor] ['60%', '100%', '100%', '60%']  memcached=120.0%
[monitor] ['59%', '100%', '100%', '57%']  memcached=116.5%
[monitor] ['61%', '100%', '48%', '57%']  memcached=117.7%
[monitor] ['59%', '100%', '4%', '56%']  memcached=115.0%
[monitor] ['58%', '100%', '8%', '57%']  memcached=114.7%
[monitor] ['58%', '100%', '7%', '54%']  memcached=112.4%
[monitor] ['61%', '100%', '11%', '54%']  memcached=114.8%
[monitor] ['59%', '100%', '7%', '57%']  memcached=115.7%
[monitor] ['57%', '100%', '7%', '54%']  memcached=110.8%
