Controller pinned to core 3.
Scheduler started.
pulled barnes
pulled radix
pulled blackscholes
pulled canneal
pulled freqmine
pulled streamcluster
pulled vips
[MEMCACHED] cores updated to: ['0', '1', '2']
[radix] started on cores: [3] with 1 threads.
[monitor] ['60%', '64%', '57%', '100%']  memcached=181.3%
[monitor] ['57%', '57%', '56%', '100%']  memcached=171.1%
[monitor] ['59%', '62%', '62%', '100%']  memcached=182.3%
[monitor] ['57%', '59%', '60%', '100%']  memcached=175.6%
[monitor] ['57%', '59%', '61%', '100%']  memcached=177.0%
[monitor] ['57%', '59%', '60%', '100%']  memcached=175.6%
[monitor] ['59%', '57%', '59%', '100%']  memcached=174.6%
[monitor] ['47%', '51%', '51%', '100%']  memcached=149.9%
[monitor] ['46%', '47%', '46%', '100%']  memcached=139.3%
[MEMCACHED] cores updated to: ['0', '2']
[radix] paused.
[barnes] started on cores: [1, 3] with 2 threads.
[monitor] ['58%', '59%', '59%', '55%']  memcached=116.7%
[monitor] ['62%', '33%', '60%', '75%']  memcached=122.7%
[monitor] ['60%', '63%', '60%', '43%']  memcached=120.0%
[monitor] ['61%', '100%', '59%', '0%']  memcached=119.9%
[monitor] ['61%', '100%', '62%', '76%']  memcached=123.6%
[monitor] ['60%', '100%', '60%', '100%']  memcached=120.0%
[monitor] ['61%', '100%', '63%', '100%']  memcached=123.8%
[monitor] ['62%', '100%', '61%', '100%']  memcached=123.6%
[monitor] ['60%', '100%', '60%', '86%']  memcached=120.0%
[monitor] ['61%', '100%', '60%', '100%']  memcached=121.8%
[monitor] ['60%', '100%', '60%', '100%']  memcached=120.9%
[monitor] ['60%', '100%', '62%', '100%']  memcached=122.4%
[monitor] ['61%', '100%', '61%', '100%']  memcached=122.7%
[monitor] ['60%', '100%', '60%', '100%']  memcached=120.0%
[monitor] ['91%', '100%', '91%', '100%']  memcached=181.5%
[MEMCACHED] cores updated to: ['0', '1', '2']
[radix] unpaused.
[barnes] paused.
[monitor] ['91%', '94%', '91%', '100%']  memcached=275.3%
[monitor] ['83%', '86%', '88%', '100%']  memcached=256.8%
[monitor] ['83%', '88%', '83%', '100%']  memcached=254.9%
[monitor] ['86%', '88%', '88%', '100%']  memcached=261.8%
[monitor] ['83%', '86%', '85%', '100%']  memcached=254.3%
[monitor] ['81%', '83%', '81%', '100%']  memcached=245.0%
[monitor] ['79%', '81%', '83%', '100%']  memcached=243.4%
[monitor] ['81%', '81%', '82%', '100%']  memcached=244.0%
[monitor] ['80%', '83%', '83%', '100%']  memcached=246.2%
[monitor] ['81%', '78%', '81%', '100%']  memcached=240.5%
[monitor] ['81%', '83%', '82%', '100%']  memcached=246.2%
[monitor] ['83%', '83%', '85%', '100%']  memcached=251.5%
[monitor] ['79%', '81%', '84%', '100%']  memcached=243.8%
[monitor] ['81%', '81%', '81%', '100%']  memcached=242.2%
[monitor] ['81%', '81%', '83%', '100%']  memcached=244.5%
[monitor] ['81%', '83%', '83%', '100%']  memcached=246.3%
[monitor] ['83%', '86%', '83%', '100%']  memcached=251.9%
[monitor] ['86%', '88%', '88%', '100%']  memcached=261.8%
[monitor] ['85%', '88%', '88%', '100%']  memcached=261.8%
[monitor] ['83%', '91%', '85%', '100%']  memcached=259.1%
[monitor] ['86%', '88%', '91%', '100%']  memcached=264.9%
[monitor] ['83%', '88%', '86%', '100%']  memcached=256.5%
[monitor] ['83%', '86%', '88%', '100%']  memcached=257.2%
[monitor] ['83%', '83%', '83%', '100%']  memcached=250.0%
[monitor] ['83%', '85%', '86%', '100%']  memcached=254.3%
[monitor] ['81%', '83%', '83%', '100%']  memcached=246.7%
[monitor] ['86%', '86%', '88%', '100%']  memcached=260.5%
[monitor] ['83%', '88%', '88%', '100%']  memcached=259.4%
[monitor] ['83%', '88%', '88%', '100%']  memcached=259.3%
[monitor] ['83%', '89%', '88%', '100%']  memcached=260.1%
[monitor] ['88%', '88%', '88%', '100%']  memcached=263.6%
[monitor] ['83%', '88%', '86%', '100%']  memcached=257.7%
[monitor] ['81%', '84%', '80%', '100%']  memcached=244.9%
[monitor] ['81%', '86%', '83%', '100%']  memcached=249.6%
[monitor] ['81%', '86%', '83%', '100%']  memcached=250.1%
[monitor] ['80%', '88%', '81%', '100%']  memcached=248.4%
[monitor] ['82%', '91%', '82%', '100%']  memcached=254.3%
[monitor] ['78%', '91%', '81%', '100%']  memcached=249.8%
[monitor] ['76%', '83%', '78%', '100%']  memcached=238.0%
[monitor] ['78%', '86%', '78%', '100%']  memcached=241.9%
[monitor] ['76%', '86%', '79%', '100%']  memcached=241.0%
[monitor] ['78%', '83%', '78%', '100%']  memcached=238.7%
[monitor] ['76%', '86%', '79%', '100%']  memcached=240.3%
[monitor] ['77%', '83%', '78%', '100%']  memcached=238.6%
[monitor] ['78%', '88%', '81%', '100%']  memcached=246.7%
[monitor] ['77%', '86%', '79%', '100%']  memcached=241.6%
[monitor] ['77%', '86%', '78%', '100%']  memcached=240.8%
[monitor] ['78%', '86%', '81%', '100%']  memcached=245.2%
[monitor] ['63%', '71%', '63%', '100%']  memcached=197.4%
[monitor] ['46%', '55%', '50%', '100%']  memcached=150.7%
[monitor] ['46%', '58%', '50%', '100%']  memcached=154.1%
[monitor] ['45%', '61%', '46%', '100%']  memcached=152.0%
[monitor] ['46%', '59%', '46%', '100%']  memcached=151.2%
[monitor] ['44%', '60%', '51%', '100%']  memcached=156.2%
[monitor] ['46%', '59%', '44%', '100%']  memcached=149.5%
[monitor] ['45%', '59%', '49%', '100%']  memcached=152.5%
[monitor] ['47%', '60%', '45%', '100%']  memcached=152.6%
[monitor] ['49%', '58%', '49%', '100%']  memcached=155.6%
[monitor] ['49%', '52%', '47%', '100%']  memcached=148.6%
[monitor] ['46%', '55%', '50%', '100%']  memcached=150.7%
[monitor] ['44%', '50%', '47%', '100%']  memcached=141.8%
[monitor] ['49%', '50%', '51%', '90%']  memcached=150.0%
[radix] ended.
[blackscholes] started on cores: [3] with 3 threads.
[monitor] ['46%', '56%', '47%', '100%']  memcached=149.6%
[monitor] ['49%', '56%', '49%', '100%']  memcached=153.2%
[monitor] ['30%', '33%', '36%', '100%']  memcached=99.7%
[MEMCACHED] cores updated to: ['0', '2']
[barnes] unpaused.
[blackscholes] paused.
[monitor] ['13%', '100%', '7%', '100%']  memcached=20.5%
[MEMCACHED] cores updated to: ['0']
[blackscholes] unpaused.
[blackscholes] cores updated to: [2]
[monitor] ['28%', '100%', '100%', '100%']  memcached=27.6%
[monitor] ['23%', '100%', '100%', '100%']  memcached=22.6%
[monitor] ['23%', '100%', '100%', '100%']  memcached=22.6%
[monitor] ['23%', '100%', '100%', '100%']  memcached=23.3%
[monitor] ['17%', '100%', '100%', '100%']  memcached=16.7%
[monitor] ['21%', '100%', '100%', '100%']  memcached=20.7%
[monitor] ['20%', '100%', '100%', '100%']  memcached=20.0%
[monitor] ['27%', '100%', '100%', '100%']  memcached=27.3%
[monitor] ['20%', '100%', '100%', '100%']  memcached=20.0%
[monitor] ['23%', '100%', '100%', '100%']  memcached=22.6%
[monitor] ['20%', '100%', '100%', '100%']  memcached=20.0%
[monitor] ['20%', '100%', '100%', '100%']  memcached=20.0%
[monitor] ['15%', '100%', '100%', '100%']  memcached=14.8%
[monitor] ['21%', '100%', '100%', '100%']  memcached=20.7%
[monitor] ['45%', '100%', '100%', '100%']  memcached=45.2%
[monitor] ['100%', '100%', '100%', '100%']  memcached=100.0%
[MEMCACHED] cores updated to: ['0', '1', '3']
[barnes] paused.
[monitor] ['70%', '74%', '100%', '68%']  memcached=211.2%
[monitor] ['65%', '68%', '100%', '64%']  memcached=197.6%
[monitor] ['66%', '66%', '100%', '64%']  memcached=195.8%
[monitor] ['66%', '68%', '100%', '67%']  memcached=200.8%
[monitor] ['65%', '67%', '100%', '65%']  memcached=196.7%
[monitor] ['65%', '67%', '100%', '63%']  memcached=195.9%
[monitor] ['69%', '67%', '100%', '65%']  memcached=200.7%
[monitor] ['65%', '68%', '100%', '62%']  memcached=195.8%
[monitor] ['66%', '68%', '100%', '64%']  memcached=198.2%
[monitor] ['66%', '68%', '100%', '65%']  memcached=198.4%
[monitor] ['66%', '69%', '100%', '66%']  memcached=200.8%
[monitor] ['68%', '67%', '100%', '62%']  memcached=196.7%
[monitor] ['66%', '66%', '100%', '64%']  memcached=195.8%
[monitor] ['66%', '69%', '100%', '65%']  memcached=199.9%
[monitor] ['68%', '68%', '100%', '64%']  memcached=200.1%
[monitor] ['17%', '14%', '100%', '14%']  memcached=45.2%
[MEMCACHED] cores updated to: ['0', '3']
[barnes] unpaused.
[barnes] cores updated to: [1, 2]
[blackscholes] paused.
[monitor] ['23%', '100%', '100%', '17%']  memcached=39.8%
[MEMCACHED] cores updated to: ['0']
[blackscholes] unpaused.
[blackscholes] cores updated to: [3]
[monitor] ['86%', '100%', '100%', '100%']  memcached=85.7%
[MEMCACHED] cores updated to: ['0', '3']
[blackscholes] paused.
[monitor] ['100%', '100%', '100%', '14%']  memcached=114.3%
[monitor] ['100%', '100%', '100%', '20%']  memcached=120.0%
[monitor] ['100%', '100%', '100%', '17%']  memcached=117.2%
[monitor] ['100%', '100%', '100%', '17%']  memcached=117.2%
[monitor] ['100%', '100%', '100%', '20%']  memcached=120.0%
[monitor] ['100%', '100%', '100%', '29%']  memcached=129.0%
[monitor] ['100%', '100%', '100%', '23%']  memcached=123.3%
[monitor] ['100%', '100%', '100%', '20%']  memcached=120.0%
[monitor] ['63%', '100%', '100%', '53%']  memcached=116.7%
[monitor] ['21%', '100%', '100%', '100%']  memcached=120.7%
[monitor] ['59%', '100%', '100%', '100%']  memcached=159.0%
[monitor] ['79%', '100%', '100%', '85%']  memcached=163.9%
[MEMCACHED] cores updated to: ['0', '1', '3']
[barnes] paused.
[blackscholes] unpaused.
[blackscholes] cores updated to: [2]
[monitor] ['50%', '54%', '100%', '51%']  memcached=154.9%
[monitor] ['52%', '55%', '100%', '49%']  memcached=155.9%
[monitor] ['51%', '53%', '100%', '50%']  memcached=153.9%
[monitor] ['52%', '52%', '100%', '46%']  memcached=150.9%
[monitor] ['51%', '52%', '100%', '49%']  memcached=152.5%
[monitor] ['49%', '53%', '100%', '49%']  memcached=149.9%
[monitor] ['47%', '54%', '100%', '51%']  memcached=152.5%
[monitor] ['51%', '55%', '100%', '49%']  memcached=154.8%
[monitor] ['51%', '57%', '100%', '51%']  memcached=159.7%
[monitor] ['53%', '54%', '100%', '49%']  memcached=154.9%
[monitor] ['51%', '55%', '100%', '50%']  memcached=156.3%
[monitor] ['49%', '51%', '100%', '47%']  memcached=147.3%
[monitor] ['50%', '54%', '100%', '49%']  memcached=152.3%
[monitor] ['50%', '55%', '100%', '50%']  memcached=155.0%
[monitor] ['28%', '30%', '100%', '25%']  memcached=83.4%
[MEMCACHED] cores updated to: ['0', '3']
[barnes] unpaused.
[blackscholes] paused.
[monitor] ['38%', '100%', '100%', '42%']  memcached=79.9%
[monitor] ['34%', '100%', '100%', '32%']  memcached=66.6%
[MEMCACHED] cores updated to: ['0']
[blackscholes] unpaused.
[blackscholes] cores updated to: [3]
[monitor] ['61%', '100%', '100%', '100%']  memcached=60.9%
[monitor] ['63%', '100%', '100%', '100%']  memcached=63.0%
[monitor] ['61%', '100%', '100%', '100%']  memcached=60.9%
[monitor] ['61%', '100%', '100%', '100%']  memcached=61.4%
[monitor] ['62%', '100%', '100%', '100%']  memcached=61.7%
[monitor] ['61%', '100%', '100%', '100%']  memcached=60.9%
[monitor] ['61%', '100%', '100%', '100%']  memcached=60.9%
[monitor] ['61%', '100%', '100%', '100%']  memcached=61.4%
[monitor] ['62%', '100%', '100%', '100%']  memcached=61.7%
[monitor] ['62%', '100%', '100%', '100%']  memcached=62.2%
[monitor] ['62%', '100%', '100%', '100%']  memcached=61.7%
[monitor] ['61%', '100%', '100%', '100%']  memcached=60.9%
[monitor] ['61%', '100%', '100%', '100%']  memcached=61.4%
[monitor] ['81%', '100%', '100%', '100%']  memcached=81.1%
[MEMCACHED] cores updated to: ['0', '3']
[blackscholes] paused.
[monitor] ['100%', '100%', '100%', '100%']  memcached=200.0%
[MEMCACHED] cores updated to: ['0', '2', '3']
[barnes] paused.
[blackscholes] unpaused.
[blackscholes] cores updated to: [1]
[monitor] ['77%', '100%', '79%', '74%']  memcached=229.6%
[monitor] ['75%', '100%', '76%', '74%']  memcached=225.7%
[monitor] ['78%', '100%', '78%', '72%']  memcached=228.7%
[monitor] ['77%', '100%', '79%', '73%']  memcached=228.8%
[monitor] ['76%', '100%', '78%', '74%']  memcached=227.8%
[monitor] ['74%', '100%', '77%', '74%']  memcached=225.0%
[monitor] ['78%', '100%', '78%', '74%']  memcached=231.1%
[monitor] ['76%', '100%', '78%', '72%']  memcached=226.6%
[monitor] ['76%', '100%', '77%', '72%']  memcached=224.4%
[monitor] ['74%', '100%', '78%', '74%']  memcached=225.7%
[monitor] ['76%', '100%', '76%', '74%']  memcached=226.4%
[monitor] ['77%', '100%', '76%', '74%']  memcached=226.3%
[monitor] ['76%', '100%', '78%', '74%']  memcached=227.7%
[monitor] ['76%', '100%', '78%', '74%']  memcached=228.4%
[monitor] ['46%', '100%', '42%', '32%']  memcached=120.6%
[MEMCACHED] cores updated to: ['0', '3']
[barnes] unpaused.
[blackscholes] paused.
[monitor] ['14%', '100%', '50%', '4%']  memcached=17.5%
[MEMCACHED] cores updated to: ['0']
[blackscholes] unpaused.
[blackscholes] cores updated to: [3]
[monitor] ['33%', '7%', '100%', '100%']  memcached=33.3%
[monitor] ['34%', '25%', '100%', '100%']  memcached=34.3%
[monitor] ['31%', '100%', '100%', '100%']  memcached=31.2%
[monitor] ['32%', '100%', '61%', '100%']  memcached=32.4%
[monitor] ['32%', '100%', '100%', '100%']  memcached=32.4%
[monitor] ['33%', '100%', '100%', '100%']  memcached=33.3%
[monitor] ['32%', '100%', '100%', '100%']  memcached=32.4%
[monitor] ['32%', '100%', '100%', '100%']  memcached=32.4%
[monitor] ['33%', '100%', '100%', '100%']  memcached=33.3%
[monitor] ['34%', '100%', '100%', '100%']  memcached=34.3%
[monitor] ['36%', '100%', '100%', '100%']  memcached=36.1%
[monitor] ['31%', '100%', '100%', '100%']  memcached=31.2%
[monitor] ['28%', '100%', '100%', '100%']  memcached=28.1%
[monitor] ['33%', '100%', '100%', '100%']  memcached=33.3%
[monitor] ['42%', '100%', '100%', '100%']  memcached=42.1%
[monitor] ['56%', '100%', '100%', '100%']  memcached=55.6%
[monitor] ['57%', '100%', '100%', '100%']  memcached=56.8%
[monitor] ['55%', '100%', '100%', '100%']  memcached=54.8%
[monitor] ['55%', '100%', '100%', '100%']  memcached=54.5%
[monitor] ['56%', '100%', '100%', '100%']  memcached=55.8%
[monitor] ['56%', '100%', '100%', '100%']  memcached=55.6%
[monitor] ['56%', '100%', '100%', '100%']  memcached=55.6%
[monitor] ['56%', '100%', '100%', '100%']  memcached=55.8%
[monitor] ['56%', '100%', '100%', '100%']  memcached=55.8%
[monitor] ['55%', '100%', '100%', '100%']  memcached=54.5%
[monitor] ['56%', '100%', '100%', '100%']  memcached=55.6%
[monitor] ['58%', '100%', '100%', '100%']  memcached=57.8%
[monitor] ['56%', '100%', '100%', '100%']  memcached=55.8%
[monitor] ['55%', '100%', '100%', '100%']  memcached=54.5%
[monitor] ['56%', '100%', '100%', '100%']  memcached=55.8%
[monitor] ['53%', '100%', '100%', '100%']  memcached=53.5%
[monitor] ['86%', '100%', '100%', '100%']  memcached=85.7%
[MEMCACHED] cores updated to: ['0', '3']
[blackscholes] paused.
[monitor] ['94%', '100%', '100%', '86%']  memcached=179.3%
[MEMCACHED] cores updated to: ['0', '2', '3']
[barnes] paused.
[blackscholes] unpaused.
[blackscholes] cores updated to: [1]
[monitor] ['72%', '100%', '74%', '69%']  memcached=215.4%
[monitor] ['72%', '100%', '74%', '69%']  memcached=216.1%
[monitor] ['73%', '100%', '74%', '68%']  memcached=215.8%
[monitor] ['73%', '100%', '72%', '69%']  memcached=214.0%
[monitor] ['70%', '100%', '74%', '68%']  memcached=212.1%
[monitor] ['75%', '100%', '75%', '71%']  memcached=220.7%
[monitor] ['74%', '100%', '76%', '72%']  memcached=222.5%
[monitor] ['76%', '100%', '77%', '72%']  memcached=225.7%
[monitor] ['74%', '100%', '74%', '72%']  memcached=219.8%
[monitor] ['74%', '100%', '79%', '72%']  memcached=225.1%
[monitor] ['75%', '100%', '76%', '72%']  memcached=223.1%
[monitor] ['72%', '100%', '72%', '71%']  memcached=215.0%
[monitor] ['74%', '100%', '74%', '69%']  memcached=217.9%
[monitor] ['72%', '100%', '74%', '69%']  memcached=215.4%
[monitor] ['41%', '100%', '30%', '28%']  memcached=99.5%
[MEMCACHED] cores updated to: ['0', '3']
[barnes] unpaused.
[blackscholes] paused.
[monitor] ['21%', '100%', '100%', '10%']  memcached=30.9%
[MEMCACHED] cores updated to: ['0']
[blackscholes] unpaused.
[blackscholes] cores updated to: [3]
[monitor] ['17%', '100%', '100%', '100%']  memcached=16.7%
[monitor] ['17%', '100%', '100%', '100%']  memcached=16.7%
[monitor] ['10%', '100%', '100%', '100%']  memcached=10.3%
[monitor] ['14%', '100%', '100%', '100%']  memcached=13.8%
[monitor] ['17%', '100%', '100%', '100%']  memcached=16.7%
[monitor] ['11%', '100%', '100%', '100%']  memcached=10.7%
[monitor] ['14%', '100%', '100%', '100%']  memcached=13.8%
[monitor] ['11%', '100%', '100%', '100%']  memcached=10.7%
[monitor] ['13%', '100%', '100%', '100%']  memcached=13.3%
[monitor] ['4%', '100%', '100%', '100%']  memcached=3.8%
[monitor] ['14%', '100%', '100%', '100%']  memcached=13.8%
[monitor] ['14%', '100%', '100%', '100%']  memcached=13.8%
[monitor] ['11%', '100%', '100%', '100%']  memcached=10.7%
[monitor] ['11%', '100%', '100%', '100%']  memcached=10.7%
[monitor] ['45%', '100%', '100%', '100%']  memcached=45.5%
[monitor] ['91%', '100%', '100%', '100%']  memcached=90.9%
[MEMCACHED] cores updated to: ['0', '1', '2']
[barnes] paused.
[monitor] ['63%', '61%', '63%', '100%']  memcached=187.8%
[monitor] ['57%', '57%', '63%', '100%']  memcached=177.8%
[monitor] ['60%', '61%', '59%', '100%']  memcached=179.4%
[monitor] ['61%', '61%', '61%', '100%']  memcached=182.9%
[monitor] ['60%', '60%', '63%', '100%']  memcached=182.8%
[monitor] ['62%', '61%', '60%', '100%']  memcached=182.9%
[monitor] ['60%', '60%', '62%', '100%']  memcached=181.9%
[monitor] ['60%', '60%', '62%', '100%']  memcached=181.4%
[monitor] ['62%', '59%', '59%', '100%']  memcached=179.0%
[monitor] ['59%', '62%', '62%', '100%']  memcached=182.7%
[monitor] ['59%', '61%', '62%', '100%']  memcached=181.4%
[monitor] ['61%', '57%', '61%', '100%']  memcached=179.5%
[monitor] ['60%', '60%', '60%', '100%']  memcached=180.5%
[monitor] ['63%', '63%', '63%', '100%']  memcached=189.6%
[monitor] ['61%', '59%', '62%', '100%']  memcached=181.4%
[monitor] ['29%', '23%', '17%', '100%']  memcached=69.2%
[MEMCACHED] cores updated to: ['0', '2']
[barnes] unpaused.
[barnes] cores updated to: [1, 3]
[blackscholes] paused.
[monitor] ['39%', '100%', '41%', '100%']  memcached=80.0%
[monitor] ['42%', '100%', '40%', '100%']  memcached=81.7%
[monitor] ['41%', '100%', '37%', '100%']  memcached=77.7%
[monitor] ['39%', '100%', '35%', '100%']  memcached=74.2%
[monitor] ['36%', '100%', '39%', '100%']  memcached=75.6%
[monitor] ['39%', '100%', '35%', '100%']  memcached=74.2%
[monitor] ['37%', '100%', '37%', '100%']  memcached=74.3%
[monitor] ['37%', '100%', '35%', '100%']  memcached=72.4%
[monitor] ['38%', '100%', '36%', '100%']  memcached=73.9%
[monitor] ['39%', '100%', '35%', '100%']  memcached=74.2%
[monitor] ['41%', '100%', '37%', '100%']  memcached=77.7%
[monitor] ['32%', '50%', '31%', '100%']  memcached=63.6%
[MEMCACHED] cores updated to: ['0']
[blackscholes] unpaused.
[blackscholes] cores updated to: [2]
[monitor] ['59%', '100%', '100%', '0%']  memcached=59.1%
[monitor] ['60%', '100%', '100%', '97%']  memcached=60.4%
[monitor] ['61%', '100%', '100%', '93%']  memcached=61.4%
[monitor] ['88%', '100%', '100%', '83%']  memcached=88.2%
[MEMCACHED] cores updated to: ['0', '2']
[blackscholes] paused.
[monitor] ['100%', '100%', '100%', '100%']  memcached=200.0%
[MEMCACHED] cores updated to: ['0', '2', '3']
[barnes] paused.
[blackscholes] unpaused.
[blackscholes] cores updated to: [1]
[monitor] ['83%', '100%', '86%', '78%']  memcached=247.4%
[monitor] ['76%', '100%', '78%', '75%']  memcached=229.7%
[monitor] ['78%', '100%', '79%', '73%']  memcached=230.3%
[monitor] ['78%', '100%', '78%', '74%']  memcached=229.2%
[monitor] ['78%', '100%', '81%', '76%']  memcached=234.6%
[monitor] ['76%', '100%', '79%', '73%']  memcached=228.2%
[monitor] ['81%', '100%', '83%', '77%']  memcached=240.3%
[monitor] ['78%', '100%', '79%', '76%']  memcached=233.0%
[monitor] ['77%', '100%', '79%', '74%']  memcached=229.6%
[monitor] ['79%', '100%', '78%', '74%']  memcached=231.1%
[monitor] ['76%', '100%', '78%', '76%']  memcached=229.8%
[monitor] ['76%', '100%', '79%', '74%']  memcached=229.6%
[monitor] ['79%', '100%', '81%', '74%']  memcached=233.9%
[monitor] ['77%', '100%', '78%', '76%']  memcached=231.6%
[monitor] ['47%', '100%', '50%', '42%']  memcached=139.5%
[MEMCACHED] cores updated to: ['0', '3']
[barnes] unpaused.
[barnes] cores updated to: [1, 2]
[blackscholes] paused.
[monitor] ['52%', '100%', '100%', '54%']  memcached=106.2%
[monitor] ['56%', '100%', '100%', '54%']  memcached=109.8%
[monitor] ['52%', '100%', '100%', '55%']  memcached=107.3%
[monitor] ['54%', '100%', '100%', '54%']  memcached=107.3%
[monitor] ['54%', '100%', '100%', '52%']  memcached=106.2%
[monitor] ['51%', '100%', '100%', '52%']  memcached=103.8%
[monitor] ['52%', '100%', '100%', '54%']  memcached=106.2%
[monitor] ['52%', '100%', '100%', '52%']  memcached=105.0%
[monitor] ['54%', '100%', '100%', '56%']  memcached=109.8%
[monitor] ['51%', '100%', '100%', '55%']  memcached=106.0%
[monitor] ['54%', '100%', '100%', '55%']  memcached=108.4%
[monitor] ['54%', '100%', '100%', '52%']  memcached=106.2%
[monitor] ['55%', '100%', '100%', '51%']  memcached=106.3%
[monitor] ['51%', '100%', '100%', '56%']  memcached=107.1%
[monitor] ['55%', '100%', '100%', '51%']  memcached=106.3%
[monitor] ['62%', '100%', '100%', '62%']  memcached=124.0%
[monitor] ['81%', '100%', '100%', '76%']  memcached=156.2%
[monitor] ['79%', '100%', '100%', '77%']  memcached=155.9%
