Controller pinned to core 3.
Scheduler started.
pulled barnes
pulled radix
pulled blackscholes
pulled canneal
pulled freqmine
pulled streamcluster
pulled vips
[MEMCACHED] cores updated to: ['0', '1', '2']
[radix] started on cores: [3] with 1 threads.
[monitor] ['0%', '0%', '0%', '100%']  memcached=0.0%
[monitor] ['88%', '100%', '94%', '100%']  memcached=181.2%
[MEMCACHED] cores updated to: ['0', '1', '2']
[radix] unpaused.
[radix] cores updated to: [3]
[barnes] paused.
[monitor] ['69%', '71%', '79%', '100%']  memcached=219.0%
[monitor] ['69%', '74%', '79%', '100%']  memcached=222.4%
[monitor] ['70%', '72%', '80%', '100%']  memcached=221.9%
[monitor] ['70%', '76%', '82%', '100%']  memcached=228.5%
[monitor] ['70%', '76%', '81%', '100%']  memcached=227.4%
[monitor] ['69%', '70%', '79%', '100%']  memcached=217.9%
[monitor] ['70%', '74%', '79%', '100%']  memcached=222.6%
[monitor] ['72%', '76%', '84%', '100%']  memcached=231.5%
[monitor] ['72%', '79%', '82%', '100%']  memcached=232.5%
[monitor] ['72%', '76%', '80%', '100%']  memcached=227.6%
[monitor] ['71%', '74%', '82%', '100%']  memcached=226.7%
[monitor] ['71%', '73%', '79%', '100%']  memcached=222.9%
[monitor] ['71%', '74%', '82%', '100%']  memcached=226.5%
[monitor] ['73%', '76%', '79%', '100%']  memcached=227.9%
[monitor] ['68%', '76%', '81%', '100%']  memcached=224.7%
[monitor] ['69%', '74%', '81%', '100%']  memcached=223.5%
[monitor] ['69%', '76%', '79%', '100%']  memcached=223.9%
[monitor] ['68%', '71%', '79%', '100%']  memcached=218.5%
[monitor] ['71%', '74%', '78%', '100%']  memcached=223.1%
[monitor] ['67%', '71%', '78%', '100%']  memcached=215.9%
[monitor] ['73%', '77%', '82%', '100%']  memcached=231.7%
[monitor] ['69%', '79%', '81%', '100%']  memcached=229.4%
[monitor] ['74%', '75%', '82%', '100%']  memcached=230.9%
[monitor] ['71%', '74%', '79%', '100%']  memcached=224.3%
[monitor] ['68%', '74%', '82%', '100%']  memcached=223.0%
[monitor] ['71%', '72%', '79%', '100%']  memcached=221.6%
[monitor] ['73%', '77%', '79%', '100%']  memcached=229.3%
[monitor] ['69%', '78%', '85%', '100%']  memcached=231.4%
[monitor] ['73%', '77%', '82%', '100%']  memcached=231.7%
[monitor] ['73%', '76%', '84%', '100%']  memcached=233.6%
[monitor] ['70%', '70%', '79%', '100%']  memcached=218.8%
[monitor] ['72%', '78%', '82%', '100%']  memcached=231.8%
[monitor] ['71%', '77%', '85%', '100%']  memcached=233.0%
[monitor] ['74%', '76%', '81%', '100%']  memcached=231.2%
[monitor] ['72%', '79%', '82%', '100%']  memcached=233.0%
[monitor] ['69%', '74%', '81%', '100%']  memcached=224.3%
[monitor] ['71%', '74%', '79%', '100%']  memcached=224.4%
[monitor] ['71%', '79%', '82%', '100%']  memcached=231.7%
[monitor] ['70%', '74%', '79%', '100%']  memcached=222.6%
[monitor] ['73%', '76%', '81%', '100%']  memcached=229.1%
[monitor] ['71%', '74%', '79%', '100%']  memcached=222.9%
[monitor] ['67%', '73%', '77%', '100%']  memcached=216.5%
[monitor] ['73%', '77%', '82%', '100%']  memcached=232.2%
[monitor] ['71%', '76%', '78%', '100%']  memcached=225.2%
[monitor] ['71%', '76%', '82%', '100%']  memcached=228.9%
[monitor] ['72%', '78%', '81%', '100%']  memcached=230.6%
[monitor] ['71%', '76%', '83%', '100%']  memcached=229.9%
[monitor] ['61%', '67%', '72%', '100%']  memcached=199.8%
[monitor] ['53%', '58%', '61%', '100%']  memcached=171.9%
[monitor] ['51%', '52%', '58%', '100%']  memcached=161.3%
[monitor] ['50%', '54%', '55%', '100%']  memcached=158.8%
[monitor] ['54%', '56%', '61%', '100%']  memcached=171.3%
[monitor] ['53%', '56%', '58%', '100%']  memcached=166.7%
[monitor] ['52%', '57%', '59%', '100%']  memcached=167.1%
[monitor] ['50%', '54%', '57%', '100%']  memcached=161.4%
[monitor] ['54%', '56%', '60%', '100%']  memcached=169.8%
[monitor] ['52%', '59%', '58%', '100%']  memcached=169.3%
[monitor] ['57%', '56%', '65%', '100%']  memcached=177.9%
[monitor] ['50%', '53%', '58%', '100%']  memcached=161.3%
[monitor] ['48%', '56%', '61%', '100%']  memcached=165.4%
[monitor] ['53%', '56%', '58%', '100%']  memcached=166.8%
[monitor] ['53%', '57%', '58%', '100%']  memcached=167.5%
[monitor] ['53%', '62%', '57%', '100%']  memcached=171.8%
[monitor] ['53%', '60%', '58%', '100%']  memcached=171.3%
[monitor] ['53%', '64%', '61%', '100%']  memcached=178.2%
[monitor] ['53%', '60%', '60%', '100%']  memcached=172.9%
[monitor] ['53%', '59%', '61%', '100%']  memcached=172.1%
[monitor] ['53%', '60%', '58%', '100%']  memcached=170.5%
[monitor] ['53%', '59%', '60%', '100%']  memcached=171.8%
[monitor] ['48%', '62%', '55%', '100%']  memcached=164.8%
[monitor] ['54%', '59%', '61%', '100%']  memcached=174.2%
[monitor] ['58%', '64%', '60%', '100%']  memcached=182.2%
[monitor] ['56%', '60%', '60%', '100%']  memcached=175.6%
[monitor] ['51%', '62%', '60%', '100%']  memcached=173.2%
[monitor] ['56%', '63%', '61%', '100%']  memcached=179.9%
[monitor] ['54%', '60%', '57%', '100%']  memcached=171.2%
[monitor] ['54%', '65%', '58%', '100%']  memcached=177.5%
[monitor] ['52%', '65%', '59%', '100%']  memcached=175.2%
[monitor] ['56%', '65%', '61%', '100%']  memcached=181.4%
[monitor] ['54%', '67%', '58%', '100%']  memcached=178.5%
[monitor] ['50%', '61%', '58%', '100%']  memcached=168.9%
[monitor] ['56%', '64%', '56%', '100%']  memcached=175.3%
[monitor] ['53%', '64%', '60%', '100%']  memcached=176.6%
[monitor] ['55%', '65%', '59%', '100%']  memcached=179.4%
[monitor] ['52%', '63%', '60%', '100%']  memcached=174.4%
[monitor] ['53%', '63%', '57%', '100%']  memcached=173.2%
[monitor] ['53%', '56%', '59%', '100%']  memcached=167.5%
[monitor] ['53%', '58%', '59%', '100%']  memcached=169.3%
[monitor] ['50%', '53%', '59%', '100%']  memcached=162.4%
[monitor] ['53%', '57%', '57%', '100%']  memcached=166.8%
[monitor] ['68%', '69%', '71%', '74%']  memcached=207.6%
[radix] ended.
[blackscholes] started on cores: [3] with 3 threads.
[monitor] ['54%', '60%', '63%', '100%']  memcached=177.1%
[monitor] ['57%', '61%', '61%', '100%']  memcached=178.9%
[monitor] ['48%', '60%', '60%', '100%']  memcached=168.5%
[monitor] ['54%', '58%', '58%', '100%']  memcached=171.0%
[monitor] ['54%', '58%', '62%', '100%']  memcached=174.5%
[monitor] ['48%', '56%', '56%', '100%']  memcached=159.6%
[monitor] ['41%', '43%', '47%', '100%']  memcached=131.3%
[MEMCACHED] cores updated to: ['0', '2']
[barnes] unpaused.
[blackscholes] paused.
[monitor] ['50%', '100%', '54%', '100%']  memcached=104.3%
[monitor] ['48%', '100%', '50%', '100%']  memcached=98.5%
[monitor] ['51%', '100%', '51%', '100%']  memcached=102.9%
[monitor] ['53%', '100%', '54%', '100%']  memcached=107.2%
[monitor] ['54%', '100%', '54%', '100%']  memcached=108.3%
[monitor] ['53%', '100%', '54%', '100%']  memcached=107.2%
[monitor] ['55%', '100%', '54%', '100%']  memcached=108.8%
[monitor] ['51%', '100%', '57%', '100%']  memcached=108.2%
[monitor] ['53%', '100%', '56%', '100%']  memcached=109.0%
[monitor] ['53%', '100%', '54%', '100%']  memcached=107.2%
[monitor] ['53%', '100%', '54%', '100%']  memcached=107.2%
[monitor] ['53%', '100%', '54%', '100%']  memcached=107.2%
[monitor] ['69%', '100%', '67%', '100%']  memcached=136.1%
[monitor] ['55%', '100%', '67%', '100%']  memcached=121.2%
[monitor] ['54%', '100%', '53%', '100%']  memcached=107.2%
[monitor] ['48%', '100%', '50%', '100%']  memcached=98.4%
[monitor] ['50%', '100%', '53%', '100%']  memcached=102.9%
[monitor] ['50%', '100%', '50%', '100%']  memcached=100.0%
[monitor] ['53%', '100%', '54%', '100%']  memcached=107.2%
[monitor] ['53%', '100%', '54%', '100%']  memcached=107.2%
[monitor] ['52%', '100%', '57%', '100%']  memcached=108.3%
[monitor] ['53%', '100%', '54%', '100%']  memcached=107.0%
[monitor] ['53%', '100%', '54%', '100%']  memcached=107.2%
[monitor] ['48%', '100%', '54%', '100%']  memcached=102.8%
[monitor] ['53%', '100%', '55%', '100%']  memcached=108.2%
[monitor] ['57%', '100%', '58%', '100%']  memcached=115.5%
[monitor] ['51%', '100%', '54%', '100%']  memcached=105.7%
[monitor] ['56%', '100%', '54%', '100%']  memcached=109.8%
[monitor] ['48%', '100%', '51%', '100%']  memcached=99.8%
[monitor] ['51%', '100%', '54%', '100%']  memcached=105.7%
[monitor] ['54%', '100%', '51%', '100%']  memcached=105.7%
[monitor] ['76%', '100%', '76%', '100%']  memcached=151.5%
[monitor] ['94%', '100%', '60%', '100%']  memcached=154.4%
[monitor] ['100%', '100%', '57%', '100%']  memcached=157.1%
[monitor] ['88%', '100%', '68%', '100%']  memcached=155.4%
[monitor] ['54%', '100%', '100%', '100%']  memcached=154.3%
[monitor] ['57%', '100%', '100%', '100%']  memcached=156.8%
[monitor] ['55%', '100%', '100%', '100%']  memcached=154.5%
[monitor] ['54%', '100%', '100%', '100%']  memcached=154.3%
[monitor] ['55%', '100%', '100%', '100%']  memcached=154.5%
[monitor] ['94%', '100%', '60%', '100%']  memcached=154.1%
[monitor] ['100%', '100%', '57%', '100%']  memcached=157.1%
[monitor] ['100%', '100%', '59%', '100%']  memcached=159.5%
[monitor] ['94%', '100%', '65%', '100%']  memcached=158.8%
[monitor] ['53%', '100%', '100%', '100%']  memcached=152.9%
[monitor] ['53%', '100%', '100%', '100%']  memcached=152.9%
[monitor] ['56%', '100%', '97%', '100%']  memcached=153.0%
[monitor] ['53%', '100%', '53%', '100%']  memcached=105.6%
[monitor] ['61%', '100%', '63%', '100%']  memcached=124.0%
[monitor] ['64%', '100%', '62%', '100%']  memcached=126.1%
[monitor] ['65%', '100%', '64%', '100%']  memcached=128.8%
[monitor] ['60%', '100%', '63%', '100%']  memcached=122.9%
[monitor] ['67%', '100%', '63%', '100%']  memcached=129.5%
[monitor] ['63%', '37%', '65%', '100%']  memcached=127.7%
[monitor] ['64%', '4%', '65%', '100%']  memcached=128.8%
[monitor] ['61%', '21%', '64%', '97%']  memcached=124.5%
[monitor] ['63%', '100%', '67%', '100%']  memcached=129.5%
[monitor] ['66%', '100%', '63%', '100%']  memcached=128.6%
[monitor] ['67%', '100%', '67%', '90%']  memcached=133.3%
[monitor] ['63%', '100%', '67%', '100%']  memcached=129.5%
[monitor] ['62%', '100%', '63%', '100%']  memcached=125.0%
[monitor] ['64%', '100%', '63%', '100%']  memcached=126.5%
[monitor] ['64%', '100%', '65%', '100%']  memcached=128.8%
[monitor] ['65%', '100%', '64%', '100%']  memcached=128.8%
[monitor] ['66%', '100%', '67%', '100%']  memcached=132.4%
[monitor] ['61%', '100%', '63%', '100%']  memcached=123.5%
[monitor] ['63%', '100%', '64%', '100%']  memcached=126.7%
[monitor] ['62%', '100%', '66%', '100%']  memcached=128.0%
[monitor] ['62%', '100%', '64%', '100%']  memcached=125.7%
[monitor] ['65%', '100%', '61%', '100%']  memcached=126.0%
[monitor] ['60%', '100%', '64%', '100%']  memcached=123.9%
[monitor] ['60%', '100%', '59%', '100%']  memcached=118.8%
[monitor] ['64%', '100%', '67%', '100%']  memcached=130.6%
[monitor] ['65%', '100%', '66%', '100%']  memcached=130.7%
[monitor] ['65%', '100%', '65%', '100%']  memcached=129.7%
[monitor] ['64%', '100%', '66%', '100%']  memcached=129.7%
[monitor] ['64%', '100%', '64%', '100%']  memcached=127.8%
[monitor] ['62%', '100%', '64%', '100%']  memcached=125.7%
[monitor] ['63%', '100%', '64%', '100%']  memcached=126.7%
[monitor] ['64%', '100%', '64%', '100%']  memcached=127.8%
[monitor] ['63%', '100%', '67%', '100%']  memcached=129.5%
[monitor] ['65%', '100%', '64%', '100%']  memcached=128.8%
[monitor] ['62%', '100%', '66%', '100%']  memcached=127.5%
[monitor] ['63%', '100%', '66%', '100%']  memcached=128.6%
[monitor] ['62%', '100%', '65%', '100%']  memcached=127.0%
[monitor] ['65%', '100%', '64%', '100%']  memcached=128.8%
[monitor] ['64%', '100%', '63%', '100%']  memcached=126.7%
[monitor] ['64%', '100%', '68%', '100%']  memcached=131.5%
[monitor] ['61%', '100%', '63%', '100%']  memcached=124.0%
[monitor] ['63%', '100%', '64%', '100%']  memcached=126.7%
[monitor] ['63%', '100%', '65%', '100%']  memcached=127.7%
[monitor] ['66%', '100%', '68%', '100%']  memcached=133.4%
[monitor] ['64%', '100%', '63%', '100%']  memcached=126.7%
[monitor] ['64%', '100%', '64%', '100%']  memcached=127.8%
[monitor] ['63%', '100%', '64%', '100%']  memcached=126.7%
[monitor] ['63%', '100%', '65%', '100%']  memcached=127.7%
[monitor] ['66%', '100%', '64%', '100%']  memcached=129.6%
[monitor] ['59%', '100%', '68%', '100%']  memcached=126.4%
[monitor] ['48%', '100%', '51%', '100%']  memcached=99.9%
[monitor] ['50%', '100%', '51%', '100%']  memcached=101.4%
[monitor] ['47%', '100%', '52%', '100%']  memcached=98.4%
[monitor] ['47%', '100%', '49%', '100%']  memcached=95.4%
[monitor] ['50%', '100%', '54%', '100%']  memcached=104.3%
[monitor] ['51%', '100%', '54%', '100%']  memcached=105.5%
[monitor] ['50%', '100%', '48%', '100%']  memcached=98.5%
[monitor] ['50%', '100%', '53%', '100%']  memcached=102.8%
[monitor] ['54%', '100%', '53%', '100%']  memcached=107.1%
[monitor] ['51%', '100%', '54%', '100%']  memcached=105.7%
[monitor] ['50%', '100%', '51%', '100%']  memcached=101.4%
[monitor] ['53%', '100%', '51%', '100%']  memcached=104.2%
[monitor] ['50%', '100%', '53%', '100%']  memcached=102.8%
[monitor] ['51%', '100%', '51%', '100%']  memcached=102.9%
[monitor] ['54%', '100%', '53%', '100%']  memcached=106.8%
[monitor] ['50%', '100%', '54%', '100%']  memcached=104.3%
[monitor] ['51%', '100%', '50%', '100%']  memcached=101.4%
[monitor] ['48%', '100%', '53%', '100%']  memcached=101.3%
[monitor] ['52%', '100%', '48%', '100%']  memcached=100.0%
[monitor] ['51%', '100%', '57%', '100%']  memcached=108.2%
[monitor] ['51%', '100%', '51%', '100%']  memcached=102.9%
[monitor] ['47%', '100%', '51%', '100%']  memcached=98.3%
[monitor] ['50%', '100%', '51%', '100%']  memcached=101.4%
[monitor] ['47%', '100%', '52%', '100%']  memcached=98.4%
[monitor] ['52%', '100%', '53%', '100%']  memcached=104.3%
[monitor] ['50%', '100%', '47%', '100%']  memcached=96.9%
[monitor] ['53%', '100%', '56%', '100%']  memcached=108.5%
[monitor] ['47%', '100%', '53%', '100%']  memcached=99.8%
[monitor] ['52%', '100%', '53%', '100%']  memcached=104.5%
[monitor] ['48%', '100%', '51%', '100%']  memcached=99.9%
[monitor] ['50%', '100%', '51%', '100%']  memcached=101.4%
[monitor] ['47%', '100%', '51%', '100%']  memcached=98.1%
[monitor] ['50%', '100%', '53%', '100%']  memcached=102.9%
[monitor] ['47%', '100%', '50%', '100%']  memcached=96.9%
[monitor] ['51%', '100%', '53%', '100%']  memcached=104.2%
[monitor] ['48%', '67%', '48%', '100%']  memcached=97.0%
[monitor] ['47%', '7%', '51%', '100%']  memcached=98.3%
[monitor] ['48%', '28%', '50%', '100%']  memcached=98.5%
[monitor] ['50%', '100%', '53%', '100%']  memcached=102.8%
[monitor] ['48%', '100%', '53%', '100%']  memcached=101.3%
[monitor] ['50%', '100%', '53%', '83%']  memcached=102.9%
[monitor] ['53%', '100%', '53%', '100%']  memcached=105.7%
[monitor] ['53%', '100%', '57%', '100%']  memcached=109.5%
[monitor] ['55%', '100%', '53%', '100%']  memcached=107.5%
[monitor] ['47%', '100%', '53%', '100%']  memcached=99.4%
[monitor] ['53%', '100%', '54%', '100%']  memcached=107.1%
[monitor] ['47%', '100%', '51%', '100%']  memcached=98.3%
[monitor] ['48%', '100%', '51%', '100%']  memcached=99.8%
[monitor] ['51%', '100%', '53%', '100%']  memcached=104.4%
[monitor] ['56%', '100%', '56%', '100%']  memcached=111.8%
[monitor] ['97%', '100%', '94%', '100%']  memcached=190.3%
[MEMCACHED] cores updated to: ['0', '1', '2']
[barnes] paused.
[blackscholes] unpaused.
[monitor] ['71%', '75%', '82%', '100%']  memcached=227.8%
[monitor] ['74%', '76%', '82%', '100%']  memcached=231.6%
[monitor] ['73%', '81%', '88%', '100%']  memcached=241.5%
[monitor] ['71%', '79%', '87%', '100%']  memcached=237.5%
[monitor] ['75%', '76%', '82%', '100%']  memcached=233.1%
[monitor] ['74%', '81%', '90%', '100%']  memcached=244.2%
[monitor] ['75%', '79%', '85%', '100%']  memcached=239.1%
[monitor] ['72%', '79%', '85%', '100%']  memcached=235.5%
[monitor] ['76%', '81%', '85%', '100%']  memcached=242.6%
[monitor] ['74%', '79%', '87%', '100%']  memcached=239.6%
[monitor] ['71%', '81%', '85%', '100%']  memcached=237.5%
[monitor] ['70%', '76%', '82%', '100%']  memcached=227.3%
[monitor] ['76%', '78%', '84%', '100%']  memcached=238.5%
[monitor] ['73%', '79%', '87%', '100%']  memcached=238.6%
[monitor] ['75%', '82%', '88%', '100%']  memcached=245.1%
[monitor] ['73%', '79%', '87%', '100%']  memcached=238.6%
[monitor] ['74%', '74%', '82%', '100%']  memcached=229.6%
[monitor] ['76%', '80%', '85%', '100%']  memcached=240.6%
[monitor] ['74%', '76%', '83%', '100%']  memcached=232.0%
[monitor] ['69%', '79%', '84%', '100%']  memcached=231.9%
[monitor] ['72%', '77%', '82%', '100%']  memcached=231.4%
[monitor] ['70%', '76%', '85%', '100%']  memcached=230.3%
[monitor] ['75%', '80%', '85%', '100%']  memcached=239.8%
[monitor] ['71%', '76%', '82%', '100%']  memcached=229.0%
[monitor] ['74%', '79%', '88%', '100%']  memcached=240.9%
[monitor] ['75%', '79%', '88%', '100%']  memcached=241.9%
[monitor] ['75%', '81%', '88%', '100%']  memcached=243.8%
[monitor] ['72%', '79%', '85%', '100%']  memcached=235.5%
[monitor] ['72%', '79%', '87%', '100%']  memcached=237.9%
[monitor] ['74%', '81%', '85%', '100%']  memcached=239.7%
[monitor] ['73%', '81%', '87%', '100%']  memcached=240.6%
[monitor] ['74%', '79%', '88%', '100%']  memcached=240.8%
[monitor] ['70%', '77%', '84%', '100%']  memcached=231.8%
[monitor] ['73%', '79%', '82%', '100%']  memcached=233.3%
[monitor] ['75%', '76%', '85%', '100%']  memcached=235.6%
[monitor] ['71%', '76%', '84%', '100%']  memcached=231.4%
[monitor] ['70%', '73%', '82%', '100%']  memcached=225.1%
[monitor] ['74%', '78%', '85%', '100%']  memcached=237.3%
[monitor] ['76%', '79%', '84%', '100%']  memcached=238.9%
[monitor] ['73%', '81%', '87%', '100%']  memcached=241.1%
[monitor] ['75%', '77%', '88%', '100%']  memcached=240.0%
[monitor] ['76%', '79%', '87%', '100%']  memcached=243.0%
[monitor] ['73%', '79%', '85%', '100%']  memcached=236.4%
[monitor] ['71%', '74%', '79%', '100%']  memcached=225.0%
[monitor] ['70%', '74%', '81%', '100%']  memcached=225.1%
[monitor] ['70%', '74%', '80%', '100%']  memcached=223.2%
[monitor] ['74%', '76%', '81%', '100%']  memcached=230.5%
[monitor] ['70%', '74%', '82%', '100%']  memcached=225.0%
[monitor] ['72%', '75%', '84%', '100%']  memcached=231.2%
[monitor] ['72%', '78%', '85%', '100%']  memcached=234.8%
[monitor] ['74%', '79%', '87%', '100%']  memcached=239.7%
[monitor] ['71%', '74%', '83%', '100%']  memcached=228.5%
[monitor] ['73%', '76%', '82%', '100%']  memcached=230.8%
[monitor] ['71%', '76%', '82%', '100%']  memcached=229.7%
[monitor] ['23%', '26%', '29%', '100%']  memcached=78.2%
[MEMCACHED] cores updated to: ['0', '2']
[barnes] unpaused.
[blackscholes] paused.
[monitor] ['15%', '100%', '7%', '100%']  memcached=21.8%
[MEMCACHED] cores updated to: ['0']
[blackscholes] unpaused.
[blackscholes] cores updated to: [2]
[monitor] ['97%', '100%', '100%', '100%']  memcached=96.8%
[MEMCACHED] cores updated to: ['0', '1', '3']
[barnes] paused.
[monitor] ['90%', '93%', '100%', '93%']  memcached=276.2%
[monitor] ['100%', '97%', '100%', '100%']  memcached=296.7%
[monitor] ['97%', '97%', '100%', '97%']  memcached=290.2%
[monitor] ['93%', '96%', '100%', '96%']  memcached=286.0%
[monitor] ['93%', '97%', '100%', '96%']  memcached=285.8%
[monitor] ['97%', '100%', '100%', '97%']  memcached=293.8%
